Project,Sample.id,lat,lon,LandcoverClass,Continent,Type
SRA,ERR1051325,34.98167,-97.52056,Agricultural land,North America,Public
SRA,ERR436052,-34.233,138.309,Agricultural land,Australia,Public
SRA,ERR436053,-34.233,138.309,Agricultural land,Australia,Public
SRA,ERR436054,-34.233,138.309,Agricultural land,Australia,Public
SRA,ERR436055,-34.255,138.318,Agricultural land,Australia,Public
SRA,ERR436057,-34.255,138.318,Agricultural land,Australia,Public
SRA,ERR436058,-34.255,138.318,Agricultural land,Australia,Public
SRA,SRR1379730,20.02,-110.35,Wetland,North America,Public
SRA,SRR1783792,24.25,93.37,Agricultural land,Asia,Public
SRA,SRR1924237,-19.733,147.178,Agricultural land,Australia,Public
SRA,SRR1926113,-19.733,147.178,Agricultural land,Australia,Public
SRA,SRR1926121,-19.733,147.178,Agricultural land,Australia,Public
SRA,SRR1926122,-19.733,147.178,Agricultural land,Australia,Public
SRA,SRR1926147,-19.733,147.178,Agricultural land,Australia,Public
SRA,SRR1926159,-19.733,147.178,Agricultural land,Australia,Public
SRA,SRR1926200,-19.733,147.178,Agricultural land,Australia,Public
SRA,SRR1926201,-19.733,147.178,Agricultural land,Australia,Public
SRA,SRR1955040,10,76.3,Agricultural land,Asia,Public
SRA,SRR2029815,50.14667,12.45083,Wetland,Europe,Public
SRA,SRR2029816,50.14667,12.45083,Wetland,Europe,Public
SRA,SRR2029817,50.14667,12.45083,Wetland,Europe,Public
SRA,SRR2029827,50.14667,12.45083,Wetland,Europe,Public
SRA,SRR2029828,50.14667,12.45083,Wetland,Europe,Public
SRA,SRR2029829,50.14667,12.45083,Wetland,Europe,Public
SRA,SRR2093878,24.5283427,110.9169302,Agricultural land,Asia,Public
SRA,SRR2140746,39.0931,-96.5586,Grassland,North America,Public
SRA,SRR2952554,37.2930286,103.7241968,Bare Land,Asia,Public
SRA,SRR2954705,37.2930286,103.7241968,Bare Land,Asia,Public
SRA,SRR3439671,37.2930286,103.7241968,Bare Land,Asia,Public
SRA,SRR3439678,37.2930286,103.7241968,Bare Land,Asia,Public
SRA,SRR3452784,37.2930286,103.7241968,Bare Land,Asia,Public
SRA,SRR3452787,37.2930286,103.7241968,Bare Land,Asia,Public
SRA,SRR350471,43.9077478,-89.4564398,Agricultural land,North America,Public
SRA,SRR350474,43.9077478,-89.4564398,Agricultural land,North America,Public
SRA,SRR350500,43.9077478,-89.4564398,Agricultural land,North America,Public
SRA,SRR350513,43.9077478,-89.4564398,Agricultural land,North America,Public
SRA,SRR350639,43.9077478,-89.4564398,Agricultural land,North America,Public
SRA,SRR350640,43.9077478,-89.4564398,Agricultural land,North America,Public
SRA,SRR350641,43.9077478,-89.4564398,Agricultural land,North America,Public
SRA,SRR350692,42.4539179,-92.404596,Grassland,North America,Public
SRA,SRR350919,41.6380873,-93.7753044,Agricultural land,North America,Public
SRA,SRR350921,41.6380873,-93.7753044,Agricultural land,North America,Public
SRA,SRR350970,37.9249062,-103.364487,Agricultural land,North America,Public
SRA,SRR351473,41.6380873,-93.7753044,Agricultural land,North America,Public
SRA,SRR351474,41.6380873,-93.7753044,Agricultural land,North America,Public
SRA,SRR352287,41.307286,-93.3785109,Grassland,North America,Public
SRA,SRR3592108,-25.025508,152.379908,Agricultural land,Australia,Public
SRA,SRR3601981,-25.025508,152.379908,Agricultural land,Australia,Public
SRA,SRR3601982,-25.025508,152.379908,Agricultural land,Australia,Public
SRA,SRR3601984,-25.025508,152.379908,Agricultural land,Australia,Public
SRA,SRR3659419,49,-57.75,Forest,North America,Public
SRA,SRR3747750,42.98,-81.24,Agricultural land,North America,Public
SRA,SRR3747798,42.98,-81.24,Agricultural land,North America,Public
SRA,SRR3747811,42.98,-81.24,Agricultural land,North America,Public
SRA,SRR3747812,42.98,-81.24,Agricultural land,North America,Public
SRA,SRR3747847,42.98,-81.24,Agricultural land,North America,Public
SRA,SRR3954470,38.99297339,-123.0674491,Grassland,North America,Public
SRA,SRR3954471,38.99297339,-123.0674491,Grassland,North America,Public
SRA,SRR3954472,38.99297339,-123.0674491,Grassland,North America,Public
SRA,SRR3954473,38.99297339,-123.0674491,Grassland,North America,Public
SRA,SRR3954474,38.99297339,-123.0674491,Grassland,North America,Public
SRA,SRR3969602,39.53,-107.78,Agricultural land,North America,Public
SRA,SRR3969907,39.53,-107.78,Agricultural land,North America,Public
SRA,SRR3970034,39.53,-107.78,Agricultural land,North America,Public
SRA,SRR3971189,39.53,-107.78,Agricultural land,North America,Public
SRA,SRR3972132,39.53,-107.78,Agricultural land,North America,Public
SRA,SRR3972141,39.53,-107.78,Agricultural land,North America,Public
SRA,SRR3972149,39.53,-107.78,Agricultural land,North America,Public
SRA,SRR3972293,18,-65,Forest,North America,Public
SRA,SRR3973802,18,-65,Forest,North America,Public
SRA,SRR3974375,18,-65,Forest,North America,Public
SRA,SRR3974376,18,-65,Forest,North America,Public
SRA,SRR3974377,18,-65,Forest,North America,Public
SRA,SRR3974390,18,-65,Forest,North America,Public
SRA,SRR3975574,18,-65,Forest,North America,Public
SRA,SRR3975575,18,-65,Forest,North America,Public
SRA,SRR3975576,18,-65,Forest,North America,Public
SRA,SRR3975577,18,-65,Forest,North America,Public
SRA,SRR3977090,38.88,-120.64,Forest,North America,Public
SRA,SRR3977097,38.88,-120.64,Forest,North America,Public
SRA,SRR3977098,38.88,-120.64,Forest,North America,Public
SRA,SRR3977124,38.88,-120.64,Forest,North America,Public
SRA,SRR3977125,38.88,-120.64,Forest,North America,Public
SRA,SRR3977135,38.88,-120.64,Forest,North America,Public
SRA,SRR3977136,38.88,-120.64,Forest,North America,Public
SRA,SRR3977137,18,-65,Forest,North America,Public
SRA,SRR3977138,18,-65,Forest,North America,Public
SRA,SRR3977139,38.88,-120.64,Forest,North America,Public
SRA,SRR3977438,38.88,-120.64,Forest,North America,Public
SRA,SRR3977439,38.88,-120.64,Forest,North America,Public
SRA,SRR3978320,38.88,-120.64,Forest,North America,Public
SRA,SRR3978321,38.88,-120.64,Forest,North America,Public
SRA,SRR3978361,38.88,-120.64,Forest,North America,Public
SRA,SRR3978390,38.88,-120.64,Forest,North America,Public
SRA,SRR3979409,38.88,-120.64,Forest,North America,Public
SRA,SRR3979410,38.88,-120.64,Forest,North America,Public
SRA,SRR3979411,38.88,-120.64,Forest,North America,Public
SRA,SRR3979412,38.88,-120.64,Forest,North America,Public
SRA,SRR3979413,38.88,-120.64,Forest,North America,Public
SRA,SRR3979414,38.88,-120.64,Forest,North America,Public
SRA,SRR3979453,38.88,-120.64,Forest,North America,Public
SRA,SRR3979454,38.88,-120.64,Forest,North America,Public
SRA,SRR3979490,38.88,-120.64,Forest,North America,Public
SRA,SRR3979491,38.88,-120.64,Forest,North America,Public
SRA,SRR3979977,38.88,-120.64,Forest,North America,Public
SRA,SRR3979978,38.88,-120.64,Forest,North America,Public
SRA,SRR3981081,38.88,-120.64,Forest,North America,Public
SRA,SRR3981082,38.88,-120.64,Forest,North America,Public
SRA,SRR3981189,38.88,-120.64,Forest,North America,Public
SRA,SRR3981190,38.88,-120.64,Forest,North America,Public
SRA,SRR3982067,38.88,-120.64,Forest,North America,Public
SRA,SRR3982068,38.88,-120.64,Forest,North America,Public
SRA,SRR3982074,38.88,-120.64,Forest,North America,Public
SRA,SRR3982075,38.88,-120.64,Forest,North America,Public
SRA,SRR3982751,39.23550963,-121.2836963,Forest,North America,Public
SRA,SRR3984885,46.42,-83.37,Forest,North America,Public
SRA,SRR3984893,46.42,-83.37,Forest,North America,Public
SRA,SRR3984957,46.42,-83.37,Forest,North America,Public
SRA,SRR3984960,71.2999,-156.61,Tundra,North America,Public
SRA,SRR3984961,71.2999,-156.61,Tundra,North America,Public
SRA,SRR3984962,71.2999,-156.61,Tundra,North America,Public
