Sample.id,Continent,type,lat.y,lon,TN,AON,NR,NOA,NF,M,AON_1,NR_1,NOA_1,NF_1,M_1,,NIRI_1,NIRI,NIRI1,NIRI2,biomass,bdod,cec,cfv,clay,nitrogen,ocd,ph,sand,silt,soc,AMR,rad,LWR,RS,RWTQ,RDQ,RWMQ,RCQ,contrast,correlation,cv,dem,dissimilarity,eastness,entropy,evaporation,evenness,EVImax,EVImean,Gppmax,Gppmean,homogeneity,maximum,ref,NDVImax,NDVImean,northness,Nppmax,Nppmean,ocs,range,shannon,simpson,std,uniformity,variance,MAT,TDR,Isoth,Tseason,TWM,TCM,ATR,TWEQ,TDRQ,TWQ,TCQ,AP,PWM,PDM,Pseason,PWeQ,PDQ,PWQ,PCQ
SRR6166740,Asia,Grassland,49.33,119.95,6.5,1.327755439,99.92233837,1245.848431,491.2553328,0.074651229,0.0027156,0.039665058,0.247113369,0.132767129,0,-0.284452106,-0.060847528,9.577207677,0.33749984,8.963534686,-0.48790112,0.23851357,0.24867672,0.63760066,-0.7237874,0.2660785,0.16919173,0.949038,-1.3764501,2.4338276,-0.22733647,-0.14396882,-0.14625567,-0.3913415,-0.117282614,0.55093277,-0.7631634,-0.06880677,-0.3503249,-0.1574867,-0.30635428,-0.17315806,1.1563895,0.12882295,2.4961498,0.45135456,-0.4452193,0.5215082,0.40741527,-0.21407026,-0.43657798,-0.6231984,-0.5218321,-0.45044133,-0.22170189,2.0520294,-0.24037017,-1.1029991,0.93645644,-0.60948914,0.849627,-0.15195294,0.49174303,0.56045157,-0.046507385,-0.4275188,-0.21296388,0.10652467,0.9893312,-0.60874254,1.706445,0.5239229,-0.45156986,1.9267372,0.6518637,-0.63753307,0.50459325,-0.3553156,-0.27473223,0.14741968,-0.49461445,1.0310584,0.09488323,-0.5115807,0.5959078,-0.5201631
SRR4046300,Asia,Agricultural land,32.03,118.46,2,0.107739874,0.172651333,0.351581417,15.82886461,1.267129751,0.000220356,6.85E-05,6.97E-05,0.004277924,0.000378313,-0.206999059,5.3044E-05,63.43661314,0.004437082,6.516233029,0.031056216,0.74792707,-0.7636326,-0.55396163,1.6080147,-0.7916558,-0.5579555,0.31448898,-2.295873,1.9089504,-0.7950948,0.21800973,-0.49459898,0.494355,-0.766581,0.6056614,-0.35185298,-0.13757859,0.33481565,0.20460087,-0.209267,0.002259463,-0.25614998,0.78777844,0.39080518,0.7869966,-0.06960746,0.51965946,0.3955368,0.4750391,0.017855374,-0.052029658,-1.0840845,-0.6763003,-0.9686978,1.8669877,0.38000762,-0.122373655,1.6574318,0.02201669,-0.5176977,0.75286466,0.94891125,0.72909164,0.65461975,-0.53240085,0.15404175,0.8098918,-0.5082816,-0.45335266,0.069491215,0.8107757,0.72668093,-0.10864934,0.960449,0.42212304,0.9288836,0.6824661,0.77391154,1.0335858,0.39093724,-0.38175505,0.83505684,0.5211644,1.7043188,-0.025710888
SRR7687004,North America,Forest,40.4449,-87.0297,4.900000095,45.65053792,606.2230034,5041.606753,2083.530142,1416.323946,0.093367044,0.240645594,1,0.563096817,0.449303652,-0.228833617,-0.291322782,6.495430858,1.678387831,1.995486162,0.08177761,1.2154303,-0.5690574,-1.358918,0.33285958,0.037467733,-0.14786336,-0.039737076,-1.51923,1.8443309,-0.48602602,-0.050771758,0.034749974,-0.2733653,-0.10362595,0.9789249,-0.7852183,0.2809656,-0.26388365,0.13362359,-0.08444827,-0.23765285,0.12652653,0.6820247,0.23456833,0.79877263,-0.25286052,0.4416371,1.3282812,1.2692938,0.4394376,0.34939292,-1.0298249,-0.6683916,-0.9719953,2.4969594,1.17472,-2.2652454,2.4961698,0.6078923,-0.030112712,0.81994706,0.75904197,0.64342755,0.5679516,-0.52856034,0.092761815,0.6022515,0.41841653,-0.2589595,0.23465304,0.7310774,0.44054347,0.3674869,0.5891897,0.14030297,0.72568864,0.44302425,0.64680636,0.13272643,0.98130506,-1.1260679,0.22738272,1.1679193,0.79432595,0.2977832
SRR7629281,North America,Wetland,46.61,-94.16,4.599999905,5.091789888,696.6962903,1604.736707,3700.127721,2435.501709,0.010414015,0.276559767,0.318298667,1,0.772636764,0.035275341,-0.108056652,4.766776749,1.803961649,1.244135095,-0.025536867,0.37974513,0.08891497,-1.1941228,-1.3711377,0.09519618,0.2130091,-0.38214844,1.549474,-0.87081915,-0.14575408,-0.23635611,0.1354948,-0.485141,0.1391332,0.95114756,-1.0060219,0.24613918,-0.45481193,2.8839018,0.39110905,0.80219084,0.5047813,3.0719788,-2.4293816,0.67214495,-0.45887792,0.65977967,0.015807278,-0.16550581,-0.51217335,NA,-1.479515,-0.74182767,-0.7166373,1.8952456,-0.041882988,-2.3228383,0.6268856,NA,0.03201939,2.7394443,1.3635256,0.88015866,3.0263245,-0.5166394,2.9003386,0.37526304,0.64761007,-0.44231296,0.7183737,0.6031196,0.0338173,1.0177442,0.70534116,-0.23736225,0.57812226,0.12214982,0.27722785,0.13063672,0.031140875,-0.509457,0.22300655,0.06499847,0.78777266,-0.25387618
SRR7629282,North America,Wetland,46.61,-94.16,4.599999905,8.70946759,944.606085,1641.1234,3399.483925,2092.963437,0.017813092,0.374969756,0.325515948,0.918747725,0.663966844,-0.013311116,-0.13360335,3.318304085,1.515447669,1.177444084,-0.025536867,0.37974513,0.08891497,-1.1941228,-1.3711377,0.09519618,0.2130091,-0.38214844,1.549474,-0.87081915,-0.14575408,-0.23635611,0.1354948,-0.485141,0.1391332,0.95114756,-1.0060219,0.24613918,-0.45481193,2.8839018,0.39110905,0.80219084,0.5047813,3.0719788,-2.4293816,0.67214495,-0.45887792,0.65977967,0.015807278,-0.16550581,-0.51217335,NA,-1.479515,-0.74182767,-0.7166373,1.8952456,-0.041882988,-2.3228383,0.6268856,NA,0.03201939,2.7394443,1.3635256,0.88015866,3.0263245,-0.5166394,2.9003386,0.37526304,0.64761007,-0.44231296,0.7183737,0.6031196,0.0338173,1.0177442,0.70534116,-0.23736225,0.57812226,0.12214982,0.27722785,0.13063672,0.031140875,-0.509457,0.22300655,0.06499847,0.78777266,-0.25387618
SRR7629280,North America,Wetland,44.9059497,-92.9894484,5,113.6499224,1385.287538,2073.659642,2469.688067,2061.596854,0.232443203,0.549902165,0.41130928,0.667460221,0.654015828,0.27742738,-0.259230373,1.961748052,0.950439961,0.751043334,-0.06963699,0.7433644,-0.40108562,-0.89385474,-1.3229951,0.013079665,-0.16783047,-0.20073926,0.52319115,0.42738783,-0.39616314,-0.18676536,0.121415816,-0.42513293,0.055336747,0.9574527,-0.9669138,0.2578253,-0.38748723,1.2829243,-1.0964761,0.23863347,0.33008295,1.8065606,0.090011194,0.6632253,-0.3291211,0.42850575,0.5962781,0.48774517,-1.0535969,NA,-1.1928501,-0.6417863,-0.79149854,2.1500401,0.4679373,-2.3082192,-0.07939611,NA,-0.050384693,1.5826694,0.9796835,0.7030572,1.273349,-0.502209,0.74019074,0.47029087,0.40368146,-0.47971258,0.6544629,0.68209124,0.16542602,0.8752919,0.7731052,-0.11836097,0.6712947,0.22325647,0.35742185,0.17601317,0.16954932,-0.57016927,0.2764579,0.15280041,0.86781615,-0.20995936
SRR8858270,North America,Shrubland,33.0544457,-116.3577702,1.700000048,172.4390509,900.8138248,1747.787394,1315.520278,1806.754646,0.35268203,0.357586031,0.346672694,0.355533748,0.573167396,,-0.248759408,1.963741257,0.565105777,0.547130312,-0.72264373,0.6320936,-0.876444,1.0837556,-1.5366769,-0.8330322,-1.0825646,0.446206,1.4999851,-0.67880887,-0.7765485,0.9038789,1.0144446,0.49625865,-0.5015341,-0.4336197,1.5873982,1.0902188,0.41505826,-0.4859142,-0.35390955,-0.17407922,2.0240283,-0.89800155,-2.2008393,-1.267532,0.93885344,-0.22438216,-1.0356694,-0.47627765,-0.77429414,-0.85035187,1.0371815,0.9030697,-0.68824977,0.47430477,-0.58612466,-0.08490064,0.41877025,-0.8566201,-1.1150476,-0.9252025,-1.2555035,-0.99845207,-0.8628028,0.6869512,-0.47270626,0.8234755,1.8157301,0.73243266,-0.502909,0.9415283,0.8409309,-0.11979839,0.3632446,1.1912159,0.8228158,0.8567255,-0.21223451,-0.210682,-0.42819807,-0.059957154,-0.122383446,-0.32143384,-0.5863,0.47443998
SRR3401986,North America,Wetland,45.41,-73.25,6.800000191,54.94139366,262.7667143,2093.160307,537.5659709,2181.717898,0.112369224,0.104307576,0.415177226,0.145283085,0.692124107,,-0.152649773,5.373150566,1.035907618,0.616703072,0.42021173,0.4590838,0.03669566,-0.95639604,0.5825278,0.6623743,0.35085458,-0.1772097,-0.69995725,0.6031291,0.121943735,-0.24805133,-0.04863841,-0.4764114,0.09580804,0.6022522,-0.5695397,0.12854093,-0.43732437,1.3901392,0.41856015,0.26548022,-0.24396412,1.9825923,-1.4780034,0.29875246,-0.49416268,0.5384759,1.2630179,0.32012182,-0.059625547,-0.12719278,-1.2885755,-0.5183703,-0.5831051,2.3613555,0.17245522,-0.4601182,1.8859514,NA,0.6030699,1.8762347,0.905,0.7076686,1.8856014,-0.395099,1.4056277,0.42945912,0.5878962,0.224169,0.7667255,0.091715924,1.6412052,-1.3619919,0.2102996,1.5666286,0.76626825,0.6178876,-0.041202765,-0.5480281,0.50566113,0.56812817,0.19987018,0.5944621,0.70167375,-0.06675718
SRR3401989,North America,Wetland,45.41,-73.25,6.800000191,67.96876074,308.6493293,1952.798177,473.2868567,1939.586649,0.139013526,0.122521087,0.387336473,0.127910951,0.615308214,,-0.157218383,4.205377512,0.869021025,0.587616627,0.42021173,0.4590838,0.03669566,-0.95639604,0.5825278,0.6623743,0.35085458,-0.1772097,-0.69995725,0.6031291,0.121943735,-0.24805133,-0.04863841,-0.4764114,0.09580804,0.6022522,-0.5695397,0.12854093,-0.43732437,1.3901392,0.41856015,0.26548022,-0.24396412,1.9825923,-1.4780034,0.29875246,-0.49416268,0.5384759,1.2630179,0.32012182,-0.059625547,-0.12719278,-1.2885755,-0.5183703,-0.5831051,2.3613555,0.17245522,-0.4601182,1.8859514,NA,0.6030699,1.8762347,0.905,0.7076686,1.8856014,-0.395099,1.4056277,0.42945912,0.5878962,0.224169,0.7667255,0.091715924,1.6412052,-1.3619919,0.2102996,1.5666286,0.76626825,0.6178876,-0.041202765,-0.5480281,0.50566113,0.56812817,0.19987018,0.5944621,0.70167375,-0.06675718
SRR3401991,North America,Wetland,45.41,-73.25,6.800000191,68.93250071,319.7296165,2172.197442,528.0467996,2211.06926,0.140984621,0.126919505,0.4308542,0.142710425,0.701435797,,-0.16927225,4.519121194,1.007096296,0.591706388,0.42021173,0.4590838,0.03669566,-0.95639604,0.5825278,0.6623743,0.35085458,-0.1772097,-0.69995725,0.6031291,0.121943735,-0.24805133,-0.04863841,-0.4764114,0.09580804,0.6022522,-0.5695397,0.12854093,-0.43732437,1.3901392,0.41856015,0.26548022,-0.24396412,1.9825923,-1.4780034,0.29875246,-0.49416268,0.5384759,1.2630179,0.32012182,-0.059625547,-0.12719278,-1.2885755,-0.5183703,-0.5831051,2.3613555,0.17245522,-0.4601182,1.8859514,NA,0.6030699,1.8762347,0.905,0.7076686,1.8856014,-0.395099,1.4056277,0.42945912,0.5878962,0.224169,0.7667255,0.091715924,1.6412052,-1.3619919,0.2102996,1.5666286,0.76626825,0.6178876,-0.041202765,-0.5480281,0.50566113,0.56812817,0.19987018,0.5944621,0.70167375,-0.06675718
