Sample.id,num_seq
ERR1051325,226336276
ERR436052,35335936
ERR436053,33349134
ERR436054,34019554
ERR436055,32142954
ERR436057,44668036
ERR436058,39174750
SRR1379730,56903178
SRR1783792,48436048
SRR1924237,114125388
SRR1926113,113026584
SRR1926121,71970964
SRR1926122,96957246
SRR1926147,49993248
SRR1926159,59561024
SRR1926200,58130048
SRR1926201,67015034
SRR1955040,130403924
SRR2029815,44416038
SRR2029816,37709994
SRR2029817,37463400
SRR2029827,42541998
SRR2029828,41118240
SRR2029829,40657210
SRR2093878,57270334
SRR2140746,24116926
SRR2952554,79097068
SRR2954705,74384592
SRR3439671,59164990
SRR3439678,50734718
SRR3452784,93346244
SRR3452787,72806982
SRR350471,125843942
SRR350474,187064394
SRR350500,95197670
SRR350513,184084690
SRR350639,94138222
SRR350640,70117858
SRR350641,116050250
SRR350692,160543912
SRR350919,40421704
SRR350921,68737600
SRR350970,37944730
SRR351473,400559456
SRR351474,516725440
SRR352287,356421884
SRR3592108,35683842
SRR3601981,32512006
SRR3601982,32763168
SRR3601984,32296134
SRR3659419,27887104
SRR3747750,70118538
SRR3747798,68701776
SRR3747811,66575382
SRR3747812,69626572
SRR3747847,59908710
SRR3954470,305670974
SRR3954471,307139734
SRR3954472,286265592
SRR3954473,286753192
SRR3954474,287823864
SRR3969602,223449944
SRR3969907,210605266
SRR3970034,230012272
SRR3971189,218418364
SRR3972132,223553118
SRR3972141,218146510
SRR3972149,224424542
SRR3972293,44351852
SRR3973802,44929092
SRR3974375,53880022
SRR3974376,51552402
SRR3974377,58082968
SRR3974390,64109710
SRR3975574,51848818
SRR3975575,59115692
SRR3975576,30767492
SRR3975577,46069374
SRR3977090,51317526
SRR3977097,41316962
SRR3977098,42849016
SRR3977124,40227462
SRR3977125,40287658
SRR3977135,77267476
SRR3977136,52476732
SRR3977137,53989566
SRR3977138,49163276
SRR3977139,49676752
SRR3977438,46187092
SRR3977439,47386428
SRR3978320,49337118
SRR3978321,49781460
SRR3978361,54670690
SRR3978390,51095020
SRR3979409,59684286
SRR3979410,58799608
SRR3979411,51263246
SRR3979412,44168140
SRR3979413,49104578
SRR3979414,48447376
SRR3979453,47282164
SRR3979454,47305936
SRR3979490,57218798
SRR3979491,58195800
SRR3979977,50619868
SRR3979978,51178602
SRR3981081,73036832
SRR3981082,59711806
SRR3981189,57369950
SRR3981190,57541520
SRR3982067,50684402
SRR3982068,49970966
SRR3982074,64981094
SRR3982075,64229318
SRR3982751,144479908
SRR3984885,269362730
SRR3984893,270400072
SRR3984957,302044464
SRR3984960,61973456
SRR3984961,58617956
SRR3984962,75043024
SRR3984963,69232792
SRR3985186,63682850
SRR3985188,61283742
SRR3985190,58587508
SRR3985369,63002672
SRR3985370,60371086
SRR3985376,67261080
SRR3985382,58478962
SRR3985383,60135778
SRR3985384,60383272
SRR3985385,85790694
SRR3985388,59904416
SRR3985389,59813380
SRR3985390,65098388
SRR3985391,62627312
SRR3985394,70167620
SRR3985395,75323826
SRR3985396,52894196
SRR3985397,52074626
SRR3985418,45930080
SRR3985419,47254986
SRR3985420,51553010
SRR3985421,53693268
SRR3985424,52946306
SRR3985523,61563046
SRR3985524,63836670
SRR3985525,59253304
SRR3985526,62502740
SRR3985527,58699222
SRR3985624,64227906
SRR3985625,48895024
SRR3988231,77750392
SRR3988262,72107182
SRR3988263,62514638
SRR3988264,262313816
SRR3988265,54012418
SRR3989121,131541658
SRR3989238,125191034
SRR3989239,157994030
SRR3989254,88053152
SRR3989257,99998296
SRR3989258,86452998
SRR3989293,301108464
SRR3989295,302948018
SRR3989296,312410230
SRR3989297,235946988
SRR3989304,211357604
SRR3989307,280003130
SRR3989309,31712392
SRR3989314,39217500
SRR3989338,265151112
SRR3989339,72210844
SRR3989344,308551418
SRR3989430,279328314
SRR3989449,61529532
SRR3989460,32448186
SRR3989461,29310074
SRR3989470,29957188
SRR3989471,31105824
SRR3989474,37508624
SRR3989477,51018764
SRR3989482,38557320
SRR3989487,26665586
SRR3989489,29361726
SRR3989490,31092084
SRR3989492,28511596
SRR3989493,28078656
SRR3989495,31530894
SRR3989500,30684784
SRR3989501,28448520
SRR3989508,29651182
SRR3989509,27473846
SRR3989516,28367220
SRR3989550,30733950
SRR3989555,30150962
SRR3989556,40449808
SRR3989561,44082612
SRR3989573,36541980
SRR3989576,35398702
SRR3989606,35138524
SRR3989686,41201840
SRR3989699,42575878
SRR3989700,38598106
SRR3989702,40516932
SRR3989705,46003816
SRR3989710,40342906
SRR3989711,38808588
SRR3990167,264354396
SRR3990168,292032686
SRR3990169,293127614
SRR3990170,229154390
SRR3990171,285797216
SRR3990172,254612632
SRR3990173,271554400
SRR3990174,273858632
SRR400291,119750052
SRR4021130,48830206
SRR4022091,30960312
SRR4022141,28641788
SRR4022146,31163002
SRR4022147,30762976
SRR4022148,32072176
SRR4022149,32589410
SRR4022155,30950718
SRR4022160,31792886
